Body,Frame1Coord,Frame2Coord,IsItFromPE
LeftArm0,"(761, 272)","(761, 274)",True
RightArm0,"(626, 407)","(609, 440)",True
LeftLeg0,"(615, 605)","(761, 274)",True
RightLeg0,"(406, 716)","(609, 440)",True
Head1,"(605, 278)","(603, 288)",True
LeftArm1,"(761, 272)","(761, 274)",True
RightArm1,"(626, 407)","(609, 440)",True
LeftLeg1,"(615, 605)","(761, 274)",True
RightLeg1,"(406, 716)","(609, 440)",True
Head2,None,None,True
LeftArm2,None,None,True
RightArm2,None,None,True
LeftLeg2,None,None,True
RightLeg2,None,None,True
Head0,"(603, 297)","(601, 305)",True
LeftArm0,"(761, 274)","(761, 274)",True
RightArm0,"(587, 473)","(585, 513)",True
LeftLeg0,"(615, 556)","(761, 274)",True
RightLeg0,None,None,True
Head1,"(603, 297)","(601, 305)",True
LeftArm1,"(761, 274)","(761, 274)",True
RightArm1,"(587, 473)","(585, 513)",True
LeftLeg1,None,None,True
RightLeg1,None,None,True
Head2,None,None,True
LeftArm2,"(597, 462)","(761, 274)",True
RightArm2,None,None,True
LeftLeg2,None,None,True
RightLeg2,None,None,True
Head0,"(591, 313)","(595, 319)",True
LeftArm0,"(761, 274)","(759, 278)",True
RightArm0,"(523, 489)","(527, 501)",True
LeftLeg0,"(550, 603)","(759, 278)",True
RightLeg0,"(546, 605)","(527, 501)",True
Head1,"(591, 313)","(595, 319)",True
LeftArm1,"(761, 274)","(759, 278)",True
RightArm1,"(523, 489)","(527, 501)",True
LeftLeg1,None,None,True
RightLeg1,None,None,True
Head0,"(593, 319)","(595, 319)",True
LeftArm0,"(757, 278)","(757, 274)",True
RightArm0,"(533, 483)","(683, 311)",True
LeftLeg0,"(554, 610)","(757, 274)",True
RightLeg0,"(554, 610)","(683, 311)",True
Head1,"(593, 319)","(595, 319)",True
LeftArm1,"(757, 278)","(757, 274)",True
RightArm1,"(533, 483)","(683, 311)",True
LeftLeg1,None,None,True
RightLeg1,None,None,True
Head2,None,None,True
LeftArm2,"(757, 278)","(757, 274)",True
RightArm2,None,None,True
LeftLeg2,None,None,True
RightLeg2,None,None,True
Head0,"(601, 317)","(609, 305)",True
LeftArm0,"(755, 278)","(753, 276)",True
RightArm0,"(382, 454)","(345, 419)",True
LeftLeg0,None,None,True
RightLeg0,"(554, 607)","(345, 419)",True
